CustomerID,Recency,Frequency,Monetary,Country,Cluster,Segment
10000,445,9,535.87,United Kingdom,0,At-Risk Spenders
10001,106,10,266.25,United Kingdom,0,At-Risk Spenders
10002,271,19,911.9,United Kingdom,3,Champions
10004,173,11,424.67,Spain,0,At-Risk Spenders
10005,62,16,640.07,United Kingdom,3,Champions
10006,336,3,118.45,Netherlands,2,Lost/Hibernating
10007,228,20,1092.16,United Kingdom,3,Champions
10008,275,1,41.42,France,2,Lost/Hibernating
10009,238,3,120.3,Spain,2,Lost/Hibernating
10010,83,15,483.92,France,3,Champions
10011,427,2,245.3,France,2,Lost/Hibernating
10012,281,9,1667.75,Netherlands,3,Champions
10013,125,5,339.84000000000003,United Kingdom,0,At-Risk Spenders
10014,200,7,273.61,United Kingdom,0,At-Risk Spenders
10015,14,24,1892.34,United Kingdom,1,Loyal Spenders
10017,16,6,145.39000000000001,Germany,0,At-Risk Spenders
10018,11,9,298.19,EIRE,1,Loyal Spenders
10019,521,3,63.99,EIRE,2,Lost/Hibernating
10020,23,3,85.35,Netherlands,2,Lost/Hibernating
10022,59,5,189.54999999999998,Germany,0,At-Risk Spenders
10023,355,35,1552.36,Germany,3,Champions
10024,143,13,363.87,Netherlands,0,At-Risk Spenders
10025,284,4,124.77,United Kingdom,0,At-Risk Spenders
10026,370,1,49.81,United Kingdom,2,Lost/Hibernating
10027,65,31,5605.62,Germany,3,Champions
10028,89,3,642.86,France,0,At-Risk Spenders
10029,247,8,730.16,Germany,0,At-Risk Spenders
10030,143,2,114.93,Netherlands,2,Lost/Hibernating
10031,270,1,38.53,United Kingdom,2,Lost/Hibernating
10033,123,105,7297.74,Spain,3,Champions
10034,22,7,600.32,United Kingdom,1,Loyal Spenders
10035,127,9,246.62,Spain,0,At-Risk Spenders
10036,32,6,173.34,EIRE,0,At-Risk Spenders
10037,380,2,185.34,Germany,2,Lost/Hibernating
10038,11,10,424.67,France,1,Loyal Spenders
10039,135,1,40.49,United Kingdom,2,Lost/Hibernating
10040,257,10,462.46,Spain,0,At-Risk Spenders
10041,133,29,843.31,United Kingdom,3,Champions
10042,541,1,46.04,United Kingdom,2,Lost/Hibernating
10043,44,10,579.57,Netherlands,0,At-Risk Spenders
10044,5,7,476.58000000000004,EIRE,1,Loyal Spenders
10045,30,3,70.38,EIRE,2,Lost/Hibernating
10046,526,2,43.0,United Kingdom,2,Lost/Hibernating
10047,162,28,1145.5,Netherlands,3,Champions
10048,308,8,572.46,France,0,At-Risk Spenders
10049,94,1,43.2,United Kingdom,2,Lost/Hibernating
10050,362,33,1227.92,United Kingdom,3,Champions
10051,4,22,660.95,Netherlands,1,Loyal Spenders
10052,5,13,329.65,United Kingdom,1,Loyal Spenders
10053,4,9,607.35,France,1,Loyal Spenders
