InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
546211,22556,PLASTERS IN TIN CIRCUS PARADE,1,2024-05-08 17:45,2.08,10794,United Kingdom
546211,47566,PARTY BUNTING,1,2024-05-08 17:45,5.11,10794,United Kingdom
546211,22457,NATURAL SLATE HEART MEMO BOARD,1,2024-05-08 17:45,2.98,10794,United Kingdom
546211,20725,LUNCH BAG RED RETROSPOT,1,2024-05-08 17:45,1.47,10794,United Kingdom
546211,22086,PAPER CHAIN KIT 50'S CHRISTMAS,1,2024-05-08 17:45,2.68,10794,United Kingdom
546211,22469,HEART OF WICKER SMALL,1,2024-05-08 17:45,1.64,10794,United Kingdom
546211,20728,LUNCH BAG CARS BLUE,1,2024-05-08 17:45,1.53,10794,United Kingdom
539696,85099B,JUMBO BAG RED RETROSPOT,3,2024-05-13 03:34,1.72,10274,EIRE
539696,21731,RED TOADSTOOL LED NIGHT LIGHT,3,2024-05-13 03:34,1.62,10274,EIRE
539696,20725,LUNCH BAG RED RETROSPOT,3,2024-05-13 03:34,1.53,10274,EIRE
539696,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,2024-05-13 03:34,1.94,10274,EIRE
539696,22556,PLASTERS IN TIN CIRCUS PARADE,2,2024-05-13 03:34,2.06,10274,EIRE
539696,22960,JAM MAKING SET WITH JARS,1,2024-05-13 03:34,3.8,10274,EIRE
539696,22469,HEART OF WICKER SMALL,3,2024-05-13 03:34,1.63,10274,EIRE
539696,22383,LUNCH BAG SUKI DESIGN,3,2024-05-13 03:34,1.46,10274,EIRE
546819,22457,NATURAL SLATE HEART MEMO BOARD,2,2024-05-13 04:36,3.5,10837,EIRE
546819,47566,PARTY BUNTING,1,2024-05-13 04:36,5.1,10837,EIRE
546819,21212,PACK OF 72 RETROSPOT PAPER  CASES,12,2024-05-13 04:36,0.49,10837,EIRE
546819,84879,ASSORTED COLOUR BIRD ORNAMENT,3,2024-05-13 04:36,1.95,10837,EIRE
